F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128
0,465,41,8033,58,0,0,0,52,2,6,0,0,1563,4,0,0,0,7,1,0,3,0,0,50,11,44,113,2,7,0,8,0,2,0,0,0,0,0,41,87,58,0,0,0,2,6,4,0,0,0,9,0,1,0,11,0,0,27,75,2,0,0,0,0,0,0,0,2,0,0,5,7,0,0,0,0,108,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
86,815,159,11,1307,44,0,123,62,0,102,99,86,812,22,0,0,678,9,0,2,0,0,0,0,20,65,99,0,25,27,2230,0,1,0,0,0,0,0,10,9,28,0,39,0,0,6,13,6,0,2,1,18,0,9,2242,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,45,0,0,30,19,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,159,128,209,29,0,0,238,188,0,8,117,0,1067,0,0,0,173,8,0,0,0,0,0,7,0,36,13861,7,1,0,3,228,0,0,0,0,2,0,226,8,70,0,35,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,278,104,153,138,0,1,134,211,7,2,0,0,0,6,18,0,5,2,0,16,0,0,0,0,0,44,133,4,19,29,3,25,1,273,0,2,384,3,4,27,22,0,5,0,12,12,0,0,0,0,6,0,6,8,15,0,12,5,4,0,0,0,0,0,0,0,0,2,8,0,1395,5,0,0,0,12,68,0,0,11,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,390,0,11891,1372,281,0,85,55,0,4,29,0,402,31,0,0,4,3,0,0,0,1,0,0,0,76,51,2,16,14,20,67,2,9,0,0,3,0,338,0,53,0,9,3,0,5,0,0,0,0,1,7,0,109,14,0,0,0,1,4,0,0,0,5,0,0,0,7,0,55,0,32,0,0,75,1072,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,2698,52,228,153,137,0,0,62,3208,27,71,36,41286,11,0,0,0,6,0,4,0,4,0,0,0,0,109,23,5,154,12,21,3,84,0,0,0,0,38,4,51,0,138,3,62,0,0,0,0,0,3,1,0,0,31,0,0,14,0,0,0,1,0,0,0,0,1,0,0,47,13,1,0,0,0,1,50,0,0,41,1,2,0,0,0,0,0,0,0,0,0,20,0,0,4,1,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,639,168,187,449,0,0,0,47,0,0,30,565,2,0,0,0,0,3,0,0,2,0,0,0,17,51,131,20,7,1192,0,14,4,6,0,0,0,0,0,1,2155,0,58,4,1,0,0,2,0,0,0,6,0,0,17,1,0,0,5,0,0,1,0,0,0,0,0,3,0,21,30,384,0,0,0,11,129,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,665,23,1171,16,0,0,1157,176,7,7,14,0,963,6,0,0,0,18,0,5,0,14,0,0,27,80,98,2,25,1058,7,4,1,13,0,0,0,0,344,0,7170,0,2,0,0,10,20,0,0,0,1,0,0,0,28,0,0,5,2,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,82,6,6,0,0,1,0,0,15,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0
0,470,6,3069,0,0,1,3107,58,0,95,0,0,0,88,0,2614,160,21,0,0,0,1,0,0,27,80,117,0,81,1204,40,76,1,9,2,0,986,1,0,45,53,0,310,0,0,0,1,0,0,0,1,0,0,0,5,56,0,0,13,0,0,1,0,0,0,0,0,6,2,0,98,6,0,0,5,11,517,0,4,1,0,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,124,114,147,257,143,0,216,87,0,10,0,763,57518,75,0,0,0,5,8,20,20,0,0,0,9,91,90,11,21,8,1,0,1,3,0,0,524,0,232,20,56,0,39,0,0,0,7,1,0,30,0,23,0,1,7,0,0,0,1,2,0,0,0,0,0,0,0,1,1,64,0,548,0,5,2,13,77,0,0,8,0,2,0,0,0,2,0,0,0,0,58,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,138,54,657,0,0,0,17,0,110,0,42,7324,15,0,23,124,6,0,0,0,0,0,0,56,1,153,27,9,29,48,0,19,7,0,0,3,2,0,0,55,0,79,0,1,0,16,6,0,0,12,0,0,0,24,0,0,0,58,0,0,1,0,0,0,0,0,6,0,0,0,3,0,0,17,0,36,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,315,63,256,31,92,0,0,300,0,0,0,0,151661,4,0,0,41,0,41,62,0,0,0,0,35,54,154,22,7,17,0,0,5,0,0,1286,0,0,0,0,39,0,68,4,1,13,16,2,0,0,1,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,0,3,0,0,1,298,0,0,0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1042,16,185,0,0,0,54,37,0,71,13,0,0,0,211,113,29,25,0,11,8,0,0,0,5,38,120,120,6,249,13,0,0,0,2,0,0,0,0,50,82,0,7,0,0,4,0,0,0,0,0,102,0,0,21,64,0,0,7,0,0,1,0,0,0,0,0,4,0,0,0,67,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
