,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128
0,8636,21013,-51,8521,0,3365,0,5662,-80,2137,12,931,2951,116464,9,24,5610,21,5,0,-104,20,62,0,-24,18,-79,117,-11,35,-42,258,-44,-25,15,0,-4,-25,4,-66,-44,380,0,5,0,4,2,-1,0,0,32,5,768,-22,11,2203,0,0,-1,6,-1,0,-11,9,186,0,2,0,-55,0,1403,1296,-5,3,4,1424,689,41,0,0,92,0,0,0,0,-4,-10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8425,20572,-8,8607,-26,3161,0,5888,-106,2152,15,1108,2838,120821,11,59,5323,29,15,0,-99,18,70,0,-130,93,-298,22,-26,30,-42,264,-64,-21,3,0,-36,-30,5,-81,-115,451,0,9,0,7,2,-1,0,1,38,7,791,-29,10,2239,0,0,0,9,-1,0,-16,6,198,0,-3,0,-49,0,1378,1298,-9,4,5,1316,644,62,0,0,93,0,0,0,-2,-6,-13,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,206,64,49,1236,1117,54,1,-1661,45,17,-3,324,900,3581,-16,55,-253,-1,-19,1,687,10,41,0,-443,-86,-394,-245,-3,8,34,29,20,19,-21,0,-97,8,8,99,-70,-122,0,3,0,2,1,-1,2,25,11,0,-7,-28,0,279,0,0,0,2,0,0,-1,-7,-37,0,68,0,-32,0,-230,57,-6,0,-4,-204,228,54,0,0,0,0,0,0,-1,0,-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8594,20884,-42,8335,13,3466,0,5754,-59,2132,7,820,2915,117663,11,84,5700,22,5,0,-50,14,44,0,-198,-28,-207,13,-7,21,-5,252,-57,-12,7,0,-27,-18,-1,-6,-36,239,0,5,0,2,1,0,0,0,39,2,739,-17,12,2244,0,0,0,5,-2,0,-7,8,171,0,0,0,-36,0,1321,1296,-11,3,3,1183,698,36,0,0,91,0,0,0,0,-3,-8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8680,20940,-42,8311,19,3516,0,5585,-21,2101,1,826,2943,117234,17,63,5679,51,3,2,-6,5,42,0,-217,4,-194,8,-1,15,6,258,-65,-6,14,0,-60,-21,0,29,-74,268,0,3,0,0,1,0,0,0,24,0,716,-16,12,2288,0,0,0,5,-2,0,-5,7,208,0,0,0,-40,0,1295,1306,-15,2,2,1198,732,11,0,0,89,0,0,0,-1,-3,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8364,20267,-12,8588,-16,3105,0,5944,-130,2138,15,1063,2805,118164,12,55,5277,17,14,0,-116,20,74,0,-104,57,-299,37,-22,35,-46,262,-61,-31,4,1,-33,-31,9,-83,-84,422,0,9,0,7,2,-1,0,1,46,5,780,-29,10,2196,0,0,0,9,0,0,-17,8,182,0,-1,0,-53,0,1413,1281,-9,7,5,1234,644,52,0,0,94,0,0,0,-2,-5,-14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,741,257,281,413,-18,242,0,512,64,-60,-8,116,-71,-784,-10,13,-103,50,-4,-1,22,12,14,0,-92,106,-225,41,2,17,-4,14,-23,14,-24,0,18,-12,-21,86,-140,27,0,7,0,-5,2,0,0,0,-33,1,-138,-16,-2,41,0,0,0,-2,0,0,0,2,65,0,3,0,16,0,-111,73,-31,5,-2,81,-24,-3,0,0,0,0,0,0,4,-1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8444,20957,-14,8476,-15,3359,0,5633,-32,2115,6,1048,2911,118293,16,40,5530,67,8,2,-35,10,58,0,-175,67,-240,57,-13,20,-14,266,-82,-1,7,0,-62,-27,0,-1,-126,406,0,6,0,4,1,0,0,0,24,4,715,-13,11,2260,0,0,0,8,-2,0,-7,5,190,0,-4,0,-50,0,1322,1302,-24,3,4,1332,636,41,0,0,91,0,0,0,-2,-6,-10,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8691,21303,-56,8502,31,3436,0,5689,-63,2131,6,884,2990,117328,17,40,5711,40,0,1,-36,12,44,0,-220,-39,-142,34,-7,22,-13,248,-57,-11,14,0,-25,-19,2,-22,-28,332,0,6,0,3,2,0,0,0,32,4,730,-15,12,2253,0,0,-1,7,-1,0,-8,8,171,0,0,0,-55,0,1360,1304,-6,2,3,1318,697,37,0,0,91,0,0,0,-1,-4,-7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,147,682,32,371,-21,77,0,27,-9,-13,0,95,48,302,-22,6,246,6,-9,0,1,-5,15,0,-34,13,-179,43,0,0,7,11,-12,0,10,0,0,-9,-6,69,-48,-35,0,0,0,-3,0,0,0,0,1,0,-81,-17,0,30,0,0,0,-2,-2,0,-2,2,65,0,3,0,0,0,-186,21,-5,0,0,68,120,-41,0,0,2,0,0,4,0,1,29,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,575,208,29,1524,1224,419,0,-794,33,-24,50,48,933,5308,145,89,-726,-17,-29,0,721,39,56,0,-1006,47,-1441,-1203,-5,-1,77,62,92,18,91,7,-31,16,9,82,-84,-201,6,41,6,18,2,-1,2,30,12,6,-30,-29,-1,342,0,0,0,7,1,0,-1,-6,-64,0,77,0,-14,0,-974,104,251,0,-6,-1121,469,50,0,0,0,0,0,0,0,-2,-2,0,0,0,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1172,1614,0,1650,1206,463,0,-648,26,24,16,250,1064,11363,2,55,266,-8,-16,0,752,26,15,0,-163,15,-418,-273,-12,8,112,38,21,17,-32,0,2,26,0,84,-55,-169,0,6,0,6,1,-2,1,30,5,2,-21,-32,0,389,0,0,0,4,0,0,-1,-5,-61,0,74,0,-6,0,-62,140,31,0,-3,-134,291,56,0,0,5,0,0,2,0,-1,-4,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,323,125,47,1226,1159,56,1,-1745,81,14,-2,270,913,4654,-10,42,-62,-8,-18,1,707,11,34,0,-247,-90,-224,-69,-6,8,50,26,10,17,-24,0,-84,12,8,91,-80,-175,0,5,0,4,1,-1,2,26,12,-1,-13,-33,0,293,0,0,0,2,1,0,-2,-6,-52,0,69,0,-20,0,-28,49,3,0,-4,-40,239,49,0,0,0,0,0,0,-1,0,-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8551,20431,-33,8007,8,3495,0,5452,-12,2062,5,725,2817,115111,8,89,5649,26,1,0,-34,4,28,0,-314,-29,-281,-72,-8,12,15,240,-66,-9,4,0,-31,-17,-6,29,-68,147,0,3,0,0,0,0,0,0,25,0,718,-18,12,2223,0,0,-1,3,-2,0,-1,7,197,0,0,0,-17,0,1203,1261,-9,-1,1,1131,756,7,0,0,87,0,0,0,0,-3,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
